,school_old,school_adj,school,state,state_abbr
0,North Carolina,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,North Carolina,NC
1,Wisconsin,University of Wisconsin – Eau Claire,University of Wisconsin – Eau Claire,Wisconsin,WI
2,Michigan,University of Michigan,University of Michigan,Michigan,MI
3,Texas Tech,Texas Tech University,Texas Tech University,Texas,TX
4,Gonzaga,Gonzaga University,Gonzaga University,Washington,WA
5,Kentucky,University of Kentucky,University of Kentucky,Kentucky,KY
6,Duke,Duke University,Duke University,North Carolina,NC
7,Virginia,University of Virginia,University of Virginia,Virginia,VA
8,Villanova,Villanova University,Villanova University,Pennsylvania,PA
9,Connecticut,University of Connecticut,University of Connecticut,Connecticut,CT
10,Louisville,University of Louisville,University of Louisville,Kentucky,KY
11,Notre Dame,Notre Dame de Namur University,Notre Dame de Namur University,California,CA
12,Florida St.,Florida State University,Florida State University,Florida,FL
13,Purdue,Indiana University – Purdue University Indianapolis,Indiana University – Purdue University Indianapolis,Indiana,IN
14,Kansas,University of Kansas,University of Kansas,Kansas,KS
15,Kansas St.,Kansas State University,Kansas State University,Kansas,KS
16,Xavier,Saint Xavier University,Saint Xavier University,Illinois,IL
17,Arizona,University of Arizona,University of Arizona,Arizona,AZ
18,Oregon,University of Oregon,University of Oregon,Oregon,OR
19,Florida,University of Florida,University of Florida,Florida,FL
20,Michigan St.,Michigan State University,Michigan State University,Michigan,MI
21,Dayton,University of Dayton,University of Dayton,Ohio,OH
22,Ohio St.,Ohio State University,Ohio State University,Ohio,OH
23,Marquette,Marquette University,Marquette University,Wisconsin,WI
24,Syracuse,Syracuse University,Syracuse University,New York,NY
25,Oklahoma,University of Oklahoma,University of Oklahoma,Oklahoma,OK
26,Loyola Chicago,Concordia University Chicago,Concordia University Chicago,Illinois,IL
27,South Carolina,University of South Carolina Aiken,University of South Carolina Aiken,South Carolina,SC
28,Auburn,Auburn University,Auburn University,Alabama,AL
29,Wichita St.,Wichita State University,Wichita State University,Kansas,KS
30,Duquesne,Duquesne University,Duquesne University,Pennsylvania,PA
31,Fordham,Fordham University,Fordham University,New York,NY
32,George Mason,George Mason University,George Mason University,Virginia,VA
33,George Washington,George Washington University,George Washington University,Washington D.C.,DC
34,La Salle,La Salle University,La Salle University,Pennsylvania,PA
35,Massachusetts,University of Massachusetts Amherst,University of Massachusetts Amherst,Massachusetts,MA
36,Rhode Island,University of Rhode Island,University of Rhode Island,Rhode Island,RI
37,Richmond,University of Richmond,University of Richmond,Virginia,VA
38,Saint Joseph's,Saint Joseph’s College of Maine,Saint Joseph’s College of Maine,Maine,ME
39,Saint Louis,Saint Louis University,Saint Louis University,Missouri,MO
40,St. Bonaventure,St. Bonaventure University,St. Bonaventure University,New York,NY
41,Davidson,Davidson College,Davidson College,North Carolina,NC
42,VCU,Virginia Commonwealth University,Virginia Commonwealth University,Virginia,VA
43,Boston College,Boston College,Boston College,Massachusetts,MA
44,Clemson,Clemson University,Clemson University,South Carolina,SC
45,Georgia Tech,Georgia Institute of Technology,Georgia Institute of Technology,Georgia,GA
46,Miami FL,Miami University,Miami University,Ohio,OH
47,Pittsburgh,University of Pittsburgh,University of Pittsburgh,Pennsylvania,PA
48,Virginia Tech,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia,VA
49,Wake Forest,Wake Forest University,Wake Forest University,North Carolina,NC
50,North Carolina St.,North Carolina State University,North Carolina State University,North Carolina,NC
51,Binghamton,Binghamton University,Binghamton University,New York,NY
52,Hartford,University of Hartford,University of Hartford,Connecticut,CT
53,Maine,University of Maine,University of Maine,Maine,ME
54,New Hampshire,University of New Hampshire,University of New Hampshire,New Hampshire,NH
55,Stony Brook,Stony Brook University,Stony Brook University,New York,NY
56,UMass Lowell,University of Massachusetts Lowell,University of Massachusetts Lowell,Massachusetts,MA
57,UMBC,"University of Maryland, Baltimore","University of Maryland, Baltimore",Maryland,MD
58,Vermont,University of Vermont,University of Vermont,Vermont,VT
59,Albany,University at Albany,University at Albany,New York,NY
60,East Carolina,East Carolina University,East Carolina University,North Carolina,NC
61,Houston,Houston Baptist University,Houston Baptist University,Texas,TX
62,Memphis,University of Memphis,University of Memphis,Tennessee,TN
63,South Florida,University of South Florida,University of South Florida,Florida,FL
64,Temple,Temple University,Temple University,Pennsylvania,PA
65,Tulane,Tulane University,Tulane University,Louisiana,LA
66,Tulsa,University of Tulsa,University of Tulsa,Oklahoma,OK
67,UCF,University of Central Florida,University of Central Florida,Florida,FL
68,SMU,Southern Methodist University,Southern Methodist University,Texas,TX
69,Florida Gulf Coast,Florida Gulf Coast University,Florida Gulf Coast University,Florida,FL
70,Jacksonville,Jacksonville State University,Jacksonville State University,Alabama,AL
71,Kennesaw St.,Kennesaw State University,Kennesaw State University,Georgia,GA
72,Lipscomb,Lipscomb University,Lipscomb University,Tennessee,TN
73,Northern Kentucky,Northern Kentucky University,Northern Kentucky University,Kentucky,KY
74,Stetson,Stetson University,Stetson University,Florida,FL
75,USC Upstate,University of South Carolina Upstate,University of South Carolina Upstate,South Carolina,SC
76,NJIT,New Jersey Institute of Technology,New Jersey Institute of Technology,New Jersey,NJ
77,North Florida,University of North Florida,University of North Florida,Florida,FL
78,North Alabama,University of North Alabama,University of North Alabama,Alabama,AL
79,Illinois,University of Illinois at Chicago,University of Illinois at Chicago,Illinois,IL
80,Minnesota,Saint Mary’s University of Minnesota,Saint Mary’s University of Minnesota,Minnesota,MN
81,Nebraska,University of Nebraska Kearney,University of Nebraska Kearney,Nebraska,NE
82,Northwestern,Northwestern University,Northwestern University,Illinois,IL
83,Penn St.,Penn State Abington,Penn State Abington,Pennsylvania,PA
84,Rutgers,Rutgers University,Rutgers University,New Jersey,NJ
85,Indiana,Indiana University Bloomington,Indiana University Bloomington,Indiana,IN
86,Iowa,University of Iowa,University of Iowa,Iowa,IA
87,Maryland,"University of Maryland, Baltimore","University of Maryland, Baltimore",Maryland,MD
88,TCU,Texas Christian University,Texas Christian University,Texas,TX
89,Oklahoma St.,Northwestern Oklahoma State University,Northwestern Oklahoma State University,Oklahoma,OK
90,Texas,University of Texas at Arlington,University of Texas at Arlington,Texas,TX
91,Baylor,Baylor University,Baylor University,Texas,TX
92,Iowa St.,Iowa State University,Iowa State University,Iowa,IA
93,West Virginia,West Virginia University,West Virginia University,West Virginia,WV
94,Creighton,Creighton University,Creighton University,Nebraska,NE
95,DePaul,DePaul University,DePaul University,Illinois,IL
96,Seton Hall,Seton Hall University,Seton Hall University,New Jersey,NJ
97,Georgetown,Georgetown College,Georgetown College,Kentucky,KY
98,St. John's,St. John’s College,St. John’s College,Maryland,MD
99,St. John's,St. John’s College,St. John’s College,New Mexico,NM
100,Butler,Butler University,Butler University,Indiana,IN
101,Providence,Providence Christian College,Providence Christian College,California,CA
102,Idaho,University of Idaho,University of Idaho,Idaho,ID
103,Idaho St.,Idaho State University,Idaho State University,Idaho,ID
104,Montana,University of Montana,University of Montana,Montana,MT
105,Montana St.,Montana State University,Montana State University,Montana,MT
106,North Dakota,University of North Dakota,University of North Dakota,North Dakota,ND
107,Northern Arizona,Northern Arizona University,Northern Arizona University,Arizona,AZ
108,Northern Colorado,University of Northern Colorado,University of Northern Colorado,Colorado,CO
109,Portland St.,Portland State University,Portland State University,Oregon,OR
110,Sacramento St.,"California State University, Sacramento","California State University, Sacramento",California,CA
